id,"(<SimilarityFunctionType.COSINE_SIMILARITY: 1>, <FeaturesType.LYRICS_TF_IDF: 0>)","(<SimilarityFunctionType.COSINE_SIMILARITY: 1>, <FeaturesType.LYRICS_WORD2VEC: 1>)","(<SimilarityFunctionType.COSINE_SIMILARITY: 1>, <FeaturesType.LYRICS_BERT: 2>)","(<SimilarityFunctionType.COSINE_SIMILARITY: 1>, <FeaturesType.BLF_CORRELATION: 3>)","(<SimilarityFunctionType.COSINE_SIMILARITY: 1>, <FeaturesType.BLF_DELTASPECTRAL: 4>)","(<SimilarityFunctionType.COSINE_SIMILARITY: 1>, <FeaturesType.BLF_LOGFLUC: 5>)","(<SimilarityFunctionType.COSINE_SIMILARITY: 1>, <FeaturesType.BLF_SPECTRALCONTRAST: 6>)","(<SimilarityFunctionType.COSINE_SIMILARITY: 1>, <FeaturesType.BLF_VARDELTASPECTRAL: 7>)","(<SimilarityFunctionType.COSINE_SIMILARITY: 1>, <FeaturesType.ESSENTIA: 8>)","(<SimilarityFunctionType.COSINE_SIMILARITY: 1>, <FeaturesType.INCP: 9>)","(<SimilarityFunctionType.COSINE_SIMILARITY: 1>, <FeaturesType.MFCC_BOW: 10>)","(<SimilarityFunctionType.COSINE_SIMILARITY: 1>, <FeaturesType.MFCC_STATS: 11>)","(<SimilarityFunctionType.COSINE_SIMILARITY: 1>, <FeaturesType.RESNET: 12>)","(<SimilarityFunctionType.COSINE_SIMILARITY: 1>, <FeaturesType.VGG19: 13>)","(<SimilarityFunctionType.COSINE_SIMILARITY: 1>, <FeaturesType.BLF_SPECTRAL: 14>)","(<SimilarityFunctionType.JACCARD: 2>, <FeaturesType.LYRICS_TF_IDF: 0>)","(<SimilarityFunctionType.JACCARD: 2>, <FeaturesType.LYRICS_WORD2VEC: 1>)","(<SimilarityFunctionType.JACCARD: 2>, <FeaturesType.LYRICS_BERT: 2>)","(<SimilarityFunctionType.JACCARD: 2>, <FeaturesType.BLF_CORRELATION: 3>)","(<SimilarityFunctionType.JACCARD: 2>, <FeaturesType.BLF_DELTASPECTRAL: 4>)","(<SimilarityFunctionType.JACCARD: 2>, <FeaturesType.BLF_LOGFLUC: 5>)","(<SimilarityFunctionType.JACCARD: 2>, <FeaturesType.BLF_SPECTRALCONTRAST: 6>)","(<SimilarityFunctionType.JACCARD: 2>, <FeaturesType.BLF_VARDELTASPECTRAL: 7>)","(<SimilarityFunctionType.JACCARD: 2>, <FeaturesType.ESSENTIA: 8>)","(<SimilarityFunctionType.JACCARD: 2>, <FeaturesType.INCP: 9>)","(<SimilarityFunctionType.JACCARD: 2>, <FeaturesType.MFCC_BOW: 10>)","(<SimilarityFunctionType.JACCARD: 2>, <FeaturesType.MFCC_STATS: 11>)","(<SimilarityFunctionType.JACCARD: 2>, <FeaturesType.RESNET: 12>)","(<SimilarityFunctionType.JACCARD: 2>, <FeaturesType.VGG19: 13>)","(<SimilarityFunctionType.JACCARD: 2>, <FeaturesType.BLF_SPECTRAL: 14>)","(<SimilarityFunctionType.INNER_PRODUCT: 3>, <FeaturesType.LYRICS_TF_IDF: 0>)","(<SimilarityFunctionType.INNER_PRODUCT: 3>, <FeaturesType.LYRICS_WORD2VEC: 1>)","(<SimilarityFunctionType.INNER_PRODUCT: 3>, <FeaturesType.LYRICS_BERT: 2>)","(<SimilarityFunctionType.INNER_PRODUCT: 3>, <FeaturesType.BLF_CORRELATION: 3>)","(<SimilarityFunctionType.INNER_PRODUCT: 3>, <FeaturesType.BLF_DELTASPECTRAL: 4>)","(<SimilarityFunctionType.INNER_PRODUCT: 3>, <FeaturesType.BLF_LOGFLUC: 5>)","(<SimilarityFunctionType.INNER_PRODUCT: 3>, <FeaturesType.BLF_SPECTRALCONTRAST: 6>)","(<SimilarityFunctionType.INNER_PRODUCT: 3>, <FeaturesType.BLF_VARDELTASPECTRAL: 7>)","(<SimilarityFunctionType.INNER_PRODUCT: 3>, <FeaturesType.ESSENTIA: 8>)","(<SimilarityFunctionType.INNER_PRODUCT: 3>, <FeaturesType.INCP: 9>)","(<SimilarityFunctionType.INNER_PRODUCT: 3>, <FeaturesType.MFCC_BOW: 10>)","(<SimilarityFunctionType.INNER_PRODUCT: 3>, <FeaturesType.MFCC_STATS: 11>)","(<SimilarityFunctionType.INNER_PRODUCT: 3>, <FeaturesType.RESNET: 12>)","(<SimilarityFunctionType.INNER_PRODUCT: 3>, <FeaturesType.VGG19: 13>)","(<SimilarityFunctionType.INNER_PRODUCT: 3>, <FeaturesType.BLF_SPECTRAL: 14>)","(<SimilarityFunctionType.BASELINE: 4>, <FeaturesType.LYRICS_TF_IDF: 0>)","(<SimilarityFunctionType.BASELINE: 4>, <FeaturesType.LYRICS_WORD2VEC: 1>)","(<SimilarityFunctionType.BASELINE: 4>, <FeaturesType.LYRICS_BERT: 2>)","(<SimilarityFunctionType.BASELINE: 4>, <FeaturesType.BLF_CORRELATION: 3>)","(<SimilarityFunctionType.BASELINE: 4>, <FeaturesType.BLF_DELTASPECTRAL: 4>)","(<SimilarityFunctionType.BASELINE: 4>, <FeaturesType.BLF_LOGFLUC: 5>)","(<SimilarityFunctionType.BASELINE: 4>, <FeaturesType.BLF_SPECTRALCONTRAST: 6>)","(<SimilarityFunctionType.BASELINE: 4>, <FeaturesType.BLF_VARDELTASPECTRAL: 7>)","(<SimilarityFunctionType.BASELINE: 4>, <FeaturesType.ESSENTIA: 8>)","(<SimilarityFunctionType.BASELINE: 4>, <FeaturesType.INCP: 9>)","(<SimilarityFunctionType.BASELINE: 4>, <FeaturesType.MFCC_BOW: 10>)","(<SimilarityFunctionType.BASELINE: 4>, <FeaturesType.MFCC_STATS: 11>)","(<SimilarityFunctionType.BASELINE: 4>, <FeaturesType.RESNET: 12>)","(<SimilarityFunctionType.BASELINE: 4>, <FeaturesType.VGG19: 13>)","(<SimilarityFunctionType.BASELINE: 4>, <FeaturesType.BLF_SPECTRAL: 14>)"
"(<SimilarityFunctionType.COSINE_SIMILARITY: 1>, <FeaturesType.LYRICS_TF_IDF: 0>)",1,0.0003437611251138151,0.04594132583704777,-0.0005574866314418614,-0.0005574808199889958,-0.00025680664228275416,0.00024313046713359655,4.2337889317423107e-05,0.0007440097420476376,4.3901778990402815e-05,-5.74182509444654e-05,-0.0005574176413938403,-0.00015760650392621756,4.296718747355044e-05,0.00034392083412967625,0.031305215246975424,-0.0003572660929057747,-0.0005576088663656265,4.3318679090589284e-05,4.3318679090589284e-05,-0.00015757872723042965,-0.00025703127263113854,-0.00035691588651388885,4.240823443979025e-05,-5.7088296161964534e-05,4.352588206529617e-05,0.0002431172237265855,-0.00025703127263113854,-5.675941240042448e-05,-0.00015721134608611464,0.9992011225223542,-0.00015711180050857366,0.025298241038108245,-0.0002570156392175704,-0.0002570156392175704,-0.000257320199161768,4.244050476700067e-05,0.0005447415297385306,-0.00015704119228757919,4.3267711298540234e-05,0.0007456700003240258,0.00024248583009466528,-5.689638550393283e-05,4.337965860031545e-05,0.00014303830335848033,0.0002436290879268199,0.0002436290879268199,0.0002436290879268199,0.0002436290879268199,0.0002436290879268199,0.0002436290879268199,0.0002436290879268199,0.0002436290879268199,0.0002436290879268199,0.0002436290879268199,0.0002436290879268199,0.0002436290879268199,0.0002436290879268199,0.0002436290879268199,0.0002436290879268199
"(<SimilarityFunctionType.COSINE_SIMILARITY: 1>, <FeaturesType.LYRICS_WORD2VEC: 1>)",0.0003437611251138151,1,-0.0007577388233039528,-0.00015717058791778982,-0.00015716473804786802,-0.0002578053704928607,-0.0002574562525842339,0.00034320456557907164,-0.0006581824400927872,0.000243082323577255,-0.0007579763594549149,-0.00045685001416131857,-0.0001576373155694455,-0.0006580015737563372,-0.0005577215331140906,4.301787237636745e-05,-0.0003573870344553143,-0.00025693050236441195,0.00044395280187018213,0.00044395280187018213,0.0006442295026499778,-5.635695531964302e-05,-0.0001565351604949683,-0.0004575114755425602,-5.7866240385919806e-05,-0.00025695512769743803,0.0005441343772690743,-5.635695531964302e-05,4.360881866887212e-05,-0.0007579402113333344,0.0003437364369165152,0.032208837444195525,-0.00045759596512652935,0.0002438404655549675,0.0002438404655549675,0.0010443474049679935,4.257594584487379e-05,4.3065964709967376e-05,-0.0006579545058775693,-0.0003566245560068637,4.3113036081194875e-05,0.00034409178071655335,0.00024357371032238006,4.273833241313696e-05,-0.00045832995790988205,-0.000657504522241652,-0.000657504522241652,-0.000657504522241652,-0.000657504522241652,-0.000657504522241652,-0.000657504522241652,-0.000657504522241652,-0.000657504522241652,-0.000657504522241652,-0.000657504522241652,-0.000657504522241652,-0.000657504522241652,-0.000657504522241652,-0.000657504522241652,-0.000657504522241652
"(<SimilarityFunctionType.COSINE_SIMILARITY: 1>, <FeaturesType.LYRICS_BERT: 2>)",0.04594132583704777,-0.0007577388233039528,1,-0.0003567997319623828,-0.0003568042325787246,-0.0002569184091407806,-0.0004569360101595521,0.00044354006531648337,-0.00025747662875801324,-0.0006580878316890448,-0.00015754212508909405,0.00014400936895981432,4.403331084176898e-05,-5.6952672312036154e-05,0.00014370577409863471,0.02178736455156468,-0.0006579078373033553,-0.0005581150122452528,4.381509847007692e-05,4.381509847007692e-05,-0.00025735677336342634,-0.0006579588900785893,-0.0005581599590368569,4.44347329903394e-05,-0.00025733544025570155,-0.00045789054944179953,-0.0010582678846549243,-0.0006579588900785893,-0.0009578509232960642,-0.0004576222924515605,0.0459413865825627,0.0003436392289586365,0.09463605061522685,0.0006453139102086425,0.0006453139102086425,0.0005433400499168784,-0.0005573654000181705,-0.0002575286489445716,0.00014346086070872842,-5.7085180887952444e-05,-5.679495632648468e-05,-0.00035680970293469724,-5.655021173879504e-05,-0.0006576179340481758,-0.00015723716118372976,0.00084296322776936,0.00084296322776936,0.00084296322776936,0.00084296322776936,0.00084296322776936,0.00084296322776936,0.00084296322776936,0.00084296322776936,0.00084296322776936,0.00084296322776936,0.00084296322776936,0.00084296322776936,0.00084296322776936,0.00084296322776936,0.00084296322776936
"(<SimilarityFunctionType.COSINE_SIMILARITY: 1>, <FeaturesType.BLF_CORRELATION: 3>)",-0.0005574866314418614,-0.00015717058791778982,-0.0003567997319623828,1,0.9789264988899231,0.019178452894557267,0.00014307000092230737,0.005955380270024762,0.0213851374539081,-0.00015680964570492507,0.0003422506921924651,4.3457304127514365e-05,-0.0002572636876720935,0.00034365682513453065,-5.6254270020872355e-05,-5.724016460590065e-05,-0.00025730361929163334,-0.000457680041436106,0.0009440150670707225,0.0009440150670707225,0.0011468394135590644,-0.00025737364077940586,-0.00015747603843919934,0.0021469038410577923,0.00014350330107845366,4.307884839363396e-05,-5.794315366074443e-05,-0.00025737364077940586,-0.000457447167718783,0.00014350188663229347,-0.0005574851261917501,-0.00015747644472867252,-0.0002579531620722264,0.00024183756555430592,0.00024183756555430592,0.001245121613610536,0.0007446640543639659,-0.0014589784212876112,-0.0012585204851347954,0.00014398958301171662,-0.0002568487101234496,-5.787814152427018e-05,0.0011440871085505932,0.00014311684877611698,-0.00015721860574558378,-0.0005585458478890359,-0.0005585458478890359,-0.0005585458478890359,-0.0005585458478890359,-0.0005585458478890359,-0.0005585458478890359,-0.0005585458478890359,-0.0005585458478890359,-0.0005585458478890359,-0.0005585458478890359,-0.0005585458478890359,-0.0005585458478890359,-0.0005585458478890359,-0.0005585458478890359,-0.0005585458478890359
"(<SimilarityFunctionType.COSINE_SIMILARITY: 1>, <FeaturesType.BLF_DELTASPECTRAL: 4>)",-0.0005574808199889958,-0.00015716473804786802,-0.0003568042325787246,0.9789264988899231,1,0.019478559349663555,0.0002429707511328161,0.005855479467427358,0.021384927140315993,-0.0001568009820766747,0.00034221724956296385,-5.662845331244171e-05,-0.00025726509629748763,0.00034356922027654945,-5.627167643979192e-05,-5.727082258090377e-05,-0.0002573371620383114,-0.00045767867239192127,0.0008440180018078535,0.0008440180018078535,0.001146776705281809,-0.000257376580266282,-0.00015746144112199545,0.0022469255526084454,0.00024343610974028707,4.315620055422187e-05,-5.795191391371191e-05,-0.000257376580266282,-0.00045736402622424064,0.0003435179346706718,-0.000557490949286148,-0.00025749686872586605,-0.00035780596896074714,0.0001419409632217139,0.0001419409632217139,0.0012451726442668587,0.0007446889905259013,-0.0014589783898554742,-0.0012585175805725156,0.00014395459671504796,-0.00025685451459139585,-0.00025781085016205905,0.0010440958593972028,0.00024314616341143845,-0.00015717474627308548,-0.0005585415579844266,-0.0005585415579844266,-0.0005585415579844266,-0.0005585415579844266,-0.0005585415579844266,-0.0005585415579844266,-0.0005585415579844266,-0.0005585415579844266,-0.0005585415579844266,-0.0005585415579844266,-0.0005585415579844266,-0.0005585415579844266,-0.0005585415579844266,-0.0005585415579844266,-0.0005585415579844266
"(<SimilarityFunctionType.COSINE_SIMILARITY: 1>, <FeaturesType.BLF_LOGFLUC: 5>)",-0.00025680664228275416,-0.0002578053704928607,-0.0002569184091407806,0.019178452894557267,0.019478559349663555,1,0.0013464199786540122,0.006855250723892823,0.01647576065734029,0.0007432818517554552,0.0001435210055205971,0.00034419589792378247,-5.6706198956817386e-05,0.0003444079728797078,-0.00015711736283265056,-0.0002572881954256445,0.0009442334994673729,0.0009442505252081901,0.0005430907162372023,0.0005430907162372023,0.002347404907923192,0.0010442598583176733,0.0007440071634482592,0.002749377265572548,-0.0002571209776215255,0.00024421191890724005,-0.00035699436790309847,0.0010442598583176733,4.3380860006436706e-05,0.0004443644150160253,-0.0002569552476052195,0.0004440121492370963,0.00024411474587395787,-0.0002575525862630457,-0.0002575525862630457,-0.00015760668204165996,0.0005434010014869272,-0.0012585963390301914,-0.0004577783716376871,-0.00035715846344828604,-0.0005579765990842134,0.00034343960229307415,4.235835396684706e-05,-0.0006575623678509146,-0.00035744145978242156,-0.0003575715213082731,-0.0003575715213082731,-0.0003575715213082731,-0.0003575715213082731,-0.0003575715213082731,-0.0003575715213082731,-0.0003575715213082731,-0.0003575715213082731,-0.0003575715213082731,-0.0003575715213082731,-0.0003575715213082731,-0.0003575715213082731,-0.0003575715213082731,-0.0003575715213082731,-0.0003575715213082731
"(<SimilarityFunctionType.COSINE_SIMILARITY: 1>, <FeaturesType.BLF_SPECTRALCONTRAST: 6>)",0.00024313046713359655,-0.0002574562525842339,-0.0004569360101595521,0.00014307000092230737,0.0002429707511328161,0.0013464199786540122,1,-0.0002566433127503842,0.0003434092784300447,0.00024369349936023354,0.0001443297357764095,0.0003433798218611628,-5.6849317625164984e-05,0.00024359373026527464,4.3241798412054774e-05,0.0003428083565086126,-0.00045722654205746947,-0.0005575869069434702,-0.00035726010100916027,-0.00035726010100916027,0.0001426371617708355,-0.00035719028557650744,-0.0004572134150657803,0.0002430940605700016,-5.7051724288612606e-05,-0.00025624633766710756,-0.0003577420860528946,-0.00035719028557650744,0.00014345833449624478,-0.00015731899766251444,0.00024312166147865354,0.00014301355462521315,0.00034401765442453324,-0.0002574929548427463,-0.0002574929548427463,-0.0006584446469787508,-0.0005586634401697666,-0.000557711374713108,4.320000880397856e-05,0.00014321398339234293,-5.7316285092383625e-05,-0.0003573348606005311,4.283877904526889e-05,-0.0004577592422720045,-0.000658141520107165,0.00014305427321232856,0.00014305427321232856,0.00014305427321232856,0.00014305427321232856,0.00014305427321232856,0.00014305427321232856,0.00014305427321232856,0.00014305427321232856,0.00014305427321232856,0.00014305427321232856,0.00014305427321232856,0.00014305427321232856,0.00014305427321232856,0.00014305427321232856,0.00014305427321232856
"(<SimilarityFunctionType.COSINE_SIMILARITY: 1>, <FeaturesType.BLF_VARDELTASPECTRAL: 7>)",4.2337889317423107e-05,0.00034320456557907164,0.00044354006531648337,0.005955380270024762,0.005855479467427358,0.006855250723892823,-0.0002566433127503842,1,0.006154539323179051,0.00014312165090814234,-0.0005576504429336637,0.0007445232989266515,-0.00015704472665674984,-0.00045802488340996206,-0.0001576122152619064,0.00014369753655046224,0.0006444131350144744,0.0005443112913053482,0.00024313305388204754,0.00024313305388204754,0.0005451719195116311,0.0006444131419993937,0.00024365022080019116,0.003348753482569009,-0.00035734822740778326,-5.687382421456277e-05,-0.00015752765466459095,0.0006444131419993937,0.0003438978863414377,-0.0006578938278835267,4.2984361061826346e-05,4.2934904340654614e-05,-0.0008580014028120786,-0.0008578195259906352,-0.0008578195259906352,-0.00035760257858783004,-0.0006577349849976599,-0.001258675646968186,-0.0005572040972765535,-0.000257377332309261,-0.0002572207909543067,4.341201740317047e-05,0.0007441812078468502,-0.0003573858982417733,-5.73906151112169e-05,-0.0007577323343139142,-0.0007577323343139142,-0.0007577323343139142,-0.0007577323343139142,-0.0007577323343139142,-0.0007577323343139142,-0.0007577323343139142,-0.0007577323343139142,-0.0007577323343139142,-0.0007577323343139142,-0.0007577323343139142,-0.0007577323343139142,-0.0007577323343139142,-0.0007577323343139142,-0.0007577323343139142
"(<SimilarityFunctionType.COSINE_SIMILARITY: 1>, <FeaturesType.ESSENTIA: 8>)",0.0007440097420476376,-0.0006581824400927872,-0.00025747662875801324,0.0213851374539081,0.021384927140315993,0.01647576065734029,0.0003434092784300447,0.006154539323179051,1,0.00024429903947748244,-0.0003583721560426056,-0.00015685253660194576,-5.692533450201154e-05,-0.0002570973988622427,-0.0001574301696382463,4.35774982906878e-05,0.0005435798247344791,0.0003433739417232573,-0.0004580069915391505,-0.0004580069915391505,0.001046202713623643,0.00034345730557106436,4.331153235398233e-05,0.0030497416644357147,-0.0002566712233237922,-0.000658083272865042,0.0003437940822914243,0.00034345730557106436,0.0005435525381471962,4.134436487220228e-05,0.000744019984267652,-0.00055812006467022,0.00014394129626452924,-0.001258432884933427,-0.001258432884933427,-0.0012585963204037398,-0.0006576351821422577,-0.0014589783793780952,0.0009437630604952574,-0.00015679068746976554,0.0005435289128217846,0.00014284046133980155,0.00014255500049330293,-0.0006577593006659299,0.00024441010318696497,-0.00015711603802628815,-0.00015711603802628815,-0.00015711603802628815,-0.00015711603802628815,-0.00015711603802628815,-0.00015711603802628815,-0.00015711603802628815,-0.00015711603802628815,-0.00015711603802628815,-0.00015711603802628815,-0.00015711603802628815,-0.00015711603802628815,-0.00015711603802628815,-0.00015711603802628815,-0.00015711603802628815
"(<SimilarityFunctionType.COSINE_SIMILARITY: 1>, <FeaturesType.INCP: 9>)",4.3901778990402815e-05,0.000243082323577255,-0.0006580878316890448,-0.00015680964570492507,-0.0001568009820766747,0.0007432818517554552,0.00024369349936023354,0.00014312165090814234,0.00024429903947748244,1,-0.00045768016949296,4.283164511434734e-05,0.0005446940730325878,-0.00035779420286417005,-0.0004570959182456136,-5.683956085704267e-05,4.333912511356175e-05,4.3814796954393386e-05,0.00044396333745680747,0.00044396333745680747,0.00014401604305021464,4.32515237480402e-05,0.00014430947951041162,0.0005435717815998941,0.000745258511742577,0.00044368279515765607,0.00024374841013923286,4.32515237480402e-05,0.00024373855325393379,-5.621600896120072e-05,4.3894639238715174e-05,-5.7511593913659455e-05,0.00014294779510237276,-0.0002575286407954991,-0.0002575286407954991,-0.0003577680408488959,-0.000257221496431157,-0.0005574441829230637,4.343189299106598e-05,-0.0014589783910196274,-0.00015718073933385313,4.267584881745279e-05,-0.0009581983566749841,0.0001436845981515944,0.0003441086050588638,-0.0002569529402535409,-0.0002569529402535409,-0.0002569529402535409,-0.0002569529402535409,-0.0002569529402535409,-0.0002569529402535409,-0.0002569529402535409,-0.0002569529402535409,-0.0002569529402535409,-0.0002569529402535409,-0.0002569529402535409,-0.0002569529402535409,-0.0002569529402535409,-0.0002569529402535409,-0.0002569529402535409
"(<SimilarityFunctionType.COSINE_SIMILARITY: 1>, <FeaturesType.MFCC_BOW: 10>)",-5.74182509444654e-05,-0.0007579763594549149,-0.00015754212508909405,0.0003422506921924651,0.00034221724956296385,0.0001435210055205971,0.0001443297357764095,-0.0005576504429336637,-0.0003583721560426056,-0.00045768016949296,1,4.366451990790665e-05,0.0006439909536857158,0.3443617202620953,0.3098901583603583,0.00024307012790814042,-0.0002565977245103568,-0.0003571080463007092,0.00044259485439397396,0.00044259485439397396,-0.0006578642351087183,-0.00025666765170171855,-0.0006580240442417562,-5.681690294295549e-05,0.00034340506070293484,0.0029518575489055365,-0.000557870218763128,-0.00025666765170171855,0.02550185881438665,0.06809337528073228,-5.742407054640353e-05,0.00034410814521834254,-0.000157675746595487,-5.661857896484435e-05,-5.661857896484435e-05,-0.0005577859270852059,-0.00035767928464338185,-5.7181580923497674e-05,-0.0003576541098300368,4.3551138369366526e-05,0.03691547701600939,4.350215662270784e-05,-0.00015737911453470588,0.06446815629838966,0.04642980739241466,0.0003441148775164038,0.0003441148775164038,0.0003441148775164038,0.0003441148775164038,0.0003441148775164038,0.0003441148775164038,0.0003441148775164038,0.0003441148775164038,0.0003441148775164038,0.0003441148775164038,0.0003441148775164038,0.0003441148775164038,0.0003441148775164038,0.0003441148775164038,0.0003441148775164038
